id,date,year,bugs,built,scored,cmplxf
2023.04.04-4525864174,2023.04.04,2023, 71663,1668, 3157, 378566
2023.04.18-4669109317,2023.04.18,2023, 94421,2318, 4830, 446150
2023.05.18-4874941690,2023.05.18,2023, 78937,2003, 4325, 367170
2023.06.15-5138979444,2023.06.15,2023, 79738,2035, 4396, 364389
2023.07.20-5468078644,2023.07.20,2023, 79698,2071, 4443, 355792
2023.08.17-5721037745,2023.08.17,2023, 79821,2097, 4518, 371556
2023.09.27-6151818175,2023.09.27,2023, 79943,2127, 4571, 385852
2023.10.15-6473927983,2023.10.15,2023, 77929,2146, 4643, 369606
2023.11.06-6713959892,2023.11.06,2023, 80937,2184, 4683, 376826
2023.12.05-7053944856,2023.12.05,2023, 88073,2209, 4734, 410304
