repo, scan-build-bugs, ossf-score, bai-bugs, complex-functions, total-functions, lines-of-code, lines-of-comments
intel/gdb,228,8.2,-1,364,3564,553261,2997156
intel/xpumanager,85,6.6,-1,530,3926,60866,254937
intel/intel-device-resource-mgt-lib,67,6.5,3247,226,1970,102766,221371
intel/compute-aggregation-layer,62,7.6,3753,120,1309,26110,109826
intel/qatlib,37,8.8,441,392,1365,87756,115806
intel/iotg-mgbe-undi-driver,37,6.2,-1,162,1122,465179,816868
intel/gmmlib,26,7.6,612,340,1410,26973,79593
intel/systemc-compiler,22,7.2,259,32,1099,53260,193142
intel/ideep,14,6.2,-1,302,1375,2426,23324
intel/intel-ipsec-mb,11,6.8,714,86,594,16334,104292
intel/opencl-intercept-layer,10,5.8,-1,224,413,3720,41800
intel/intel-graphics-compiler,10,4.8,5595,83,1167,123872,861655
intel/zlib,8,4.9,1587,31,221,8132,34345
intel/qpl,8,8.3,0,205,1505,15083,104492
intel/linux-sgx,8,8.2,-1,126,992,149986,357542
intel/idxd-config,8,6.8,39,31,216,1698,18568
intel/media-driver,7,7.1,-1,10,101,392290,2767868
intel/intel-extension-for-transformers,6,6.4,-1,811,5577,10607,56692
intel/hexl,6,6.2,64,13,236,2325,14938
intel/IA-Hardware-Composer,6,6.2,0,4,117,6992,38368
intel/dptf,5,7.1,9,46,2248,47198,181645
intel/pcm,4,6.8,-1,82,785,4085,36377
intel/DML,4,8.4,-1,75,544,8795,30840
intel/libva,3,7.1,13,21,326,11481,17006
intel/isa-l,3,7.6,0,23,158,6238,45579
intel/cm-cpu-emulation,3,5.4,2106,4,110,8457,47845
intel/uintr-ipc-bench,2,5.2,0,0,104,1068,2910
intel/metee,2,6.2,0,2,65,539,3769
intel/ipp-crypto,2,7.3,0,4,266,56329,139342
intel/iotg_tsn_ref_sw,2,6.5,0,4,19,1077,3493
intel/iotg-lin-gfx-libva,2,6.4,12,15,303,6624,13280
intel/intel-cpu-frequency-library,2,6.4,0,0,5,60,170
intel/MTMC-Temporal-Profiler,2,5.9,0,2,37,629,1922
