repo, scan-build-bugs, bai-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
AdamYuan/SparseVoxelOctree,1651,110,0,4.8,250,2672,39350,181362 0
DCMTK/dcmtk,479,-1,4,7.6,1717,17893,258518,985741 4
BrunoLevy/geogram,437,51,0,5.3,951,6367,162355,413258 0
0vercl0k/rp,394,0,0,4.8,103,1716,24981,149286 0
DynamoRIO/drmemory,287,-1,0,4.7,811,5441,28683,134462 0
DarkflameUniverse/DarkflameServer,265,0,0,8.1,408,5412,88825,234232 0
BespokeSynth/BespokeSynth,196,0,-1,7.1,190,3100,28539,175448 -1
ETLCPP/etl,193,0,0,6.3,6154,23584,67218,230609 0
ARM-software/vulkan_best_practice_for_mobile_developers,141,-1,0,6.5,1087,8569,6555,21927 0
DanBloomberg/leptonica,116,1064,1564,5.7,967,3951,96679,197303 1564
DISTRHO/DPF,115,-1,0,3.4,5,371,21362,102791 0
BeamMW/beam,113,22,60,6.7,737,8480,134290,544815 60
DiligentGraphics/DiligentCore,102,-1,304,5.1,1534,11084,57998,251883 304
Cisco-Talos/pyrebox,102,0,112,4.8,412,2423,305189,1660669 112
DanielSWolf/rhubarb-lip-sync,93,4,10,4.5,305,2450,129430,629649 10
Blizzard/s2client-api,80,0,0,6.5,410,4759,1956,17002 0
DentonW/DevIL,76,0,0,6.6,268,1566,10392,65470 0
CloudCompare/CloudCompare,75,0,0,5.7,221,974,70759,267805 0
DeaDBeeF-Player/deadbeef,70,1697,1147,6.1,419,1793,152235,623703 1147
0ad/0ad,69,0,0,5.7,246,1770,390332,1112170 0
CESNET/UltraGrid,68,322,0,5.2,207,1946,47482,134142 0
Aloshi/EmulationStation,68,-1,0,6.4,52,1253,2352,79054 0
DefTruth/lite.ai.toolkit,66,-1,0,3.9,21,1148,55222,174021 0
CoolProp/CoolProp,64,0,0,5,144,1515,13623,55231 0
ComodoSecurity/openedr,60,0,-1,5.5,258,2829,946466,4659303 -1
AlexandreRouma/SDRPlusPlus,59,0,0,5.7,147,1605,23602,117163 0
DFHack/dfhack,51,-1,0,5.7,279,4565,32852,183534 0
Azure/azure-iot-sdk-c,49,0,0,7.3,1054,3753,30774,214211 0
Apress/Ray-Tracing-Gems-II,49,-1,0,5.2,95,1274,72667,279470 0
AcademySoftwareFoundation/openexr,47,263,0,8,250,1900,23303,219824 0
AtomicGameEngine/AtomicGameEngine,41,-1,0,4.2,482,3786,510603,1662416 0
0xnobody/vmpdump,41,-1,731,5.6,241,3417,743,2258 731
Chatterino/chatterino2,39,424,0,6.2,101,2931,5340,74742 0
ClimbSnail/HoloCubic_AIO,38,-1,0,4.7,183,1304,133253,908937 0
AcademySoftwareFoundation/MaterialX,38,0,0,6.6,103,1209,25618,136080 0
Blosc/c-blosc,33,454,165,7.3,180,1200,29263,90233 165
ERGO-Code/HiGHS,31,-1,0,6.7,323,1811,22975,129353 0
CppMicroServices/CppMicroServices,31,662,0,7,103,1524,120393,501077 0
ArcticaProject/vcxsrv,31,509,17,4.6,84,725,436655,1650849 17
DynamoRIO/dynamorio,30,-1,0,5.6,586,4341,169629,467257 0
DroneBridge/DroneBridge,30,0,0,4.7,42,451,34240,86331 0
DaehwanKimLab/hisat2,27,-1,561,7.2,81,306,22159,98565 561
Auburn/FastNoise2,27,123,0,5.8,263,3650,939,12454 0
Blosc/bcolz,25,0,0,5.2,74,709,17803,53211 0
ARM-software/astc-encoder,25,30,183,6.3,41,203,15774,81546 183
BinomialLLC/basis_universal,21,31,0,6.9,223,1211,20660,120364 0
BenLangmead/bowtie2,20,4953,366,5.1,126,279,18917,61139 366
ETH3D/badslam,16,179,433,5.4,208,1335,56548,170467 433
BitcoinUnlimited/BitcoinUnlimited,15,274,103,6.2,49,238,30539,173879 103
BobLChen/VulkanDemos,14,339,12,5,205,1544,118226,705902 12
0intro/plan9,14,0,125,6.3,16,100,207411,1543345 125
CongducPham/LowCostLoRaGw,13,6,0,5.5,84,396,56741,270140 0
Bitcoin-ABC/bitcoin-abc,13,-1,105,6.5,60,289,44675,219588 105
Bionus/imgbrd-grabber,13,0,0,4.7,249,2371,3285,54258 0
BTCGPU/BTCGPU,12,282,75,6.7,35,154,24006,137025 75
AntiMicroX/antimicrox,12,314,0,5.4,88,1194,8328,50609 0
BitFunnel/NativeJIT,11,0,0,6.2,18,227,25441,105781 0
AprilRobotics/apriltag,11,0,0,6.2,28,243,4719,174203 0
Cockatrice/Cockatrice,10,54,0,6.3,35,1288,3753,63751 0
BehaviorTree/Groot,10,172,0,5.9,20,529,353,11583 0
Bareflank/hypervisor,10,0,6,5.2,2,47,66543,90247 6
BlueBrain/HighFive,9,0,0,7.5,32,474,2561,9732 0
CloverHackyColor/CloverBootloader,8,0,12,4.8,24,268,724953,1467648 12
Ai-Thinker-Open/GPRS_C_SDK,8,-1,0,4.6,16,215,57519,302035 0
7thSamurai/steganography,8,-1,0,6.2,17,149,5265,17722 0
Crypto-toolbox/HFT-Orderbook,7,-1,0,6.3,0,41,326,1569 0
ChunelFeng/caiss,7,-1,0,5.5,11,330,5771,27999 0
Alex313031/thorium,7,-1,0,6,1,18,115742,900359 0
AcademySoftwareFoundation/openvdb,7,-1,0,7.7,17,288,44909,299637 0
CoSMoSoftware/OBS-studio-webrtc,6,2556,43,5,50,461,54615,314988 43
BlitterStudio/amiberry,6,0,0,5.5,6,313,76778,827760 0
