repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
AdamYuan/SparseVoxelOctree,1668,565,4.6,393,3927,40451,193350
LibreDWG/libredwg,1349,-1,5.6,529,16734,14781,865699
GStreamer/gstreamer,1346,-1,3.4,14833,80428,467750,2147181
xroche/httrack,1252,362,5.6,315,1268,9541,47434
openpbs/openpbs,1159,-1,4.9,877,4933,109673,214245
mitsuba-renderer/nanogui,1011,0,4.8,56,1075,6918,22150
eliaskosunen/scnlib,903,349,5.9,9,245,4248,24863
LiangliangNan/PolyFit,880,315,4.2,11982,40554,239471,796730
BlitterStudio/amiberry,863,95,5.2,689,19888,79675,841465
performancecopilot/pcp,852,129,5.5,2972,16926,104885,1057999
SwagSoftware/Kisak-Strike,851,1528,2.9,4034,57458,958786,4412096
nmellado/Super4PCS,823,0,3.5,445,1638,27947,114790
plugdata-team/plugdata,749,970,5.2,1113,13612,39246,183797
rizinorg/rizin,741,126,7,2588,17376,75576,730579
YannickJadoul/Parselmouth,713,-1,5.2,2212,13795,404565,1154557
pschatzmann/arduino-audio-tools,665,2544,5.6,3060,21884,20573,454333
JACoders/OpenJK,663,0,5.1,1753,12676,231763,927725
OpenEnroth/OpenEnroth,594,0,6.1,1060,12533,15680,136717
F-Stack/f-stack,576,476,5.2,2993,35147,1226972,4671069
terrychou/iVim,570,0,1.6,857,4511,87678,390541
bminor/bash,567,356,5.3,339,2087,25565,125349
applidium/Vim,555,0,1.1,807,4074,72193,342824
DCMTK/dcmtk,549,636,4.5,1904,20589,272629,1020063
neoml-lib/neoml,542,365,6.2,869,13984,31501,176224
hypre-space/hypre,514,-1,7.4,627,2495,102743,479321
RfidResearchGroup/proxmark3,489,-1,6.8,1096,8900,87022,312888
fltk/fltk,480,614,5.8,303,3566,83248,259786
IvorySQL/IvorySQL,462,-1,6,3775,16493,430466,1008040
bitnine-oss/agensgraph,461,-1,4.1,3194,15814,379245,911605
BrunoLevy/geogram,443,0,5,969,6456,164653,419797
qicosmos/iguana,436,33,6,56,827,3191,25850
Farama-Foundation/ViZDoom,432,276,5.3,789,6819,81546,368238
tangrams/tangram-es,417,27,3.8,2544,13868,51172,201386
dhewm/dhewm3,403,-1,4.4,777,8882,134932,441382
0vercl0k/rp,394,237,4.1,103,1716,24981,149286
OpenDDS/OpenDDS,392,-1,6.1,971,15158,35117,397132
Geant4/geant4,377,-1,1.9,1098,12973,615667,1235613
vslavik/poedit,375,789,4.5,500,4891,863525,3890446
unicode-org/icu,371,1657,8.6,812,7217,230689,950722
